Lastname,Forename,Subdomain,Type
Nor,Alberto Bemporad,Systems and Communication Engineering (PE7),Member
Amin,Aishah Saidina,Products and Processes Engineering (PE8),Member
Bordonau,Josep,Systems and Communication Engineering (PE7),Member
Amon,Cristina,Products and Processes Engineering (PE8),Member
Caire,Giuseppe,Systems and Communication Engineering (PE7),Member
Garbatov,Yordan,Products and Processes Engineering (PE8),Member
Dobre,Octavia,Systems and Communication Engineering (PE7),Member
Hattel,Jesper,Products and Processes Engineering (PE8),Member
Gustafsson,Mats,Systems and Communication Engineering (PE7),Member
Henningson,Dan,Products and Processes Engineering (PE8),Member
Juntti,Markku,Systems and Communication Engineering (PE7),Member
Irabien,Angel,Products and Processes Engineering (PE8),Member
Konofagou,Elisa,Systems and Communication Engineering (PE7),Member
Jasak,Hrvoje,Products and Processes Engineering (PE8),Member
Kulić,Dana,Systems and Communication Engineering (PE7),Member
Ju,Yiguang,Products and Processes Engineering (PE8),Member
Nijmeijer,Hendrik,Systems and Communication Engineering (PE7),Member
Perathoner,Siglinda,Products and Processes Engineering (PE8),Member
Manuela,Anibal Ollero,Systems and Communication Engineering (PE7),Member
Raimondi,Teresa,Products and Processes Engineering (PE8),Member
Ritsch-Marte,Monika,Systems and Communication Engineering (PE7),Member
Santiago,Aldina,Products and Processes Engineering (PE8),Member
Simeonidou,Dimitra,Systems and Communication Engineering (PE7),Member
Sonebi,Mohammed,Products and Processes Engineering (PE8),Member
Smedley,Keyue,Systems and Communication Engineering (PE7),Member
Stone,Richard,Products and Processes Engineering (PE8),Member
Stiller,Birgit,Systems and Communication Engineering (PE7),Member
Sundén,Bengt,Products and Processes Engineering (PE8),Member
Yeatman,Eric M.,Systems and Communication Engineering (PE7),Member
Thiede,Sebastian,Products and Processes Engineering (PE8),Member
Antonio,,Systems and Communication Engineering (PE7),Member
Tricoli,,Products and Processes Engineering (PE8),Member
Kon-Well,,Systems and Communication Engineering (PE7),Member
Wang,,Products and Processes Engineering (PE8),Member
Frenk,Carlos,Universe Sciences (PE9),Chair
Slomp,Caroline,Earth System Science (PE10),Chair
Doyon,Rene,Universe Sciences (PE9),Member
Demouchy,Sylvie,Earth System Science (PE10),Member
Brandenberger,Robert Hans,Universe Sciences (PE9),Member
Bostock,Michael,Earth System Science (PE10),Member
Ceccarelli,Cecilia,Universe Sciences (PE9),Member
Toro,Giulio Di,Earth System Science (PE10),Member
Francisco,Anne Dutrey,Universe Sciences (PE9),Member
Doblas-Reyes,,Earth System Science (PE10),Member
Hoekstra,Hendrik,Universe Sciences (PE9),Member
Edwards,Mary,Earth System Science (PE10),Member
Kampert,Karl-Heinz,Universe Sciences (PE9),Member
Herzschuh,Ulrike,Earth System Science (PE10),Member
Keller,Christoph,Universe Sciences (PE9),Member
Marchetti,Marco,Earth System Science (PE10),Member
Klessen,Ralf,Universe Sciences (PE9),Member
Murphy,Jennifer,Earth System Science (PE10),Member
María,Claudia Maraston,Universe Sciences (PE9),Member
Gómez,Jose Polo,Earth System Science (PE10),Member
Micela,Giuseppina,Universe Sciences (PE9),Member
Speich,Sabrina,Earth System Science (PE10),Member
Poedts,Stefaan,Universe Sciences (PE9),Member
Storelvmo,Trude,Earth System Science (PE10),Member
Ransom,Scott,Universe Sciences (PE9),Member
Teng,Fangzhen,Earth System Science (PE10),Member
Sintes,Alicia,Universe Sciences (PE9),Member
Villamor,Pilar,Earth System Science (PE10),Member
Lisa,,Universe Sciences (PE9),Member
Wingate,,Earth System Science (PE10),Member
Eric,,Universe Sciences (PE9),Member
Wolff,,Earth System Science (PE10),Member
Tarascon,Jean-Marie,Materials Engineering (PE11),Chair
Agarwal,Seema,Materials Engineering (PE11),Member
Antonietti,Markus,Materials Engineering (PE11),Member
Best,Serena,Materials Engineering (PE11),Member
Burgert,Ingo,Materials Engineering (PE11),Member
Caruso,Rachel,Materials Engineering (PE11),Member
Collaert,Nadine,Materials Engineering (PE11),Member
Colombo,Paolo,Materials Engineering (PE11),Member
Geers,Marc,Materials Engineering (PE11),Member
Lanceros-Méndez,Senentxu,Materials Engineering (PE11),Member
