Forename,Lastname,Fullname,Type
Eric,Wolff,Eric Wolff,Member
Carlos,Frenk,Carlos Frenk,Chair
Rene,Doyon,Rene Doyon,Member
Robert,Brandenberger,Robert Hans Brandenberger,Member
Cecilia,Ceccarelli,Cecilia Ceccarelli,Member
Anne,Dutrey,Anne Dutrey,Member
Hendrik,Hoekstra,Hendrik Hoekstra,Member
Karl-Heinz,Kampert,Karl-Heinz Kampert,Member
Christoph,Keller,Christoph Keller,Member
Ralf,Klessen,Ralf Klessen,Member
Claudia,Maraston,Claudia Maraston,Member
Giuseppina,Micela,Giuseppina Micela,Member
Stefaan,Poedts,Stefaan Poedts,Member
Scott,Ransom,Scott Ransom,Member
Alicia,Sintes,Alicia Sintes,Member
Jean-Marie,Tarascon,Jean-Marie Tarascon,Chair
Seema,Agarwal,Seema Agarwal,Member
Markus,Antonietti,Markus Antonietti,Member
Serena,Best,Serena Best,Member
Ingo,Burgert,Ingo Burgert,Member
Rachel,Caruso,Rachel Caruso,Member
Nadine,Collaert,Nadine Collaert,Member
Paolo,Colombo,Paolo Colombo,Member
Marc,Geers,Marc Geers,Member
Senentxu,Lanceros-Méndez,Senentxu Lanceros-Méndez,Member
Andreas,Mortensen,Andreas Mortensen,Member
Jenny,Nelson,Jenny Nelson,Member
Amanda,Petford-Long,Amanda Petford-Long,Member
Patrick,Rinke,Patrick Rinke,Member
Sabine,Szunerits,Sabine Szunerits,Member
Sybrand,Van der Zwaag,Sybrand Van der Zwaag,Member
Molecules of Life:,Mechanisms,"Molecules of Life: Biological Mechanisms,",Member
Integrative,Genes and Genomes,Integrative Biology: From Genes and Genomes,Member
María,García-Parajo,María García-Parajo,Chair
Britta,Brügger,Britta Brügger,Member
Maria,Carmo-Fonseca,Maria Carmo-Fonseca,Member
Arne,Elofsson,Arne Elofsson,Member
Kris,Gevaert,Kris Gevaert,Member
Vassilios,Gorgoulis,Vassilios Gorgoulis,Member
Claudio,Luchinat,Claudio Luchinat,Member
Martin,Noble,Martin Noble,Member
David,Rueda,David Rueda,Member
Frances,Separovic,Frances Separovic,Member
Natalie,Strynadka,Natalie Strynadka,Member
Sharon,Wolf,Sharon Grayer Wolf,Member
Boris,Zhivotovsky,Boris D. Zhivotovsky,Member
Hinrich,Gronemeyer,Hinrich Gronemeyer,Chair
Chris,Bowler,Chris Bowler,Member
M.,Cardoso,M. Cristina Cardoso,Member
Johan,Elf,Johan Elf,Member
Laurence,Florens,Laurence A. Florens,Member
Franca,Fraternali,Franca Fraternali,Member
Niko,Geldner,Niko Geldner,Member
Ursula,Klingmüller,Ursula Klingmüller,Member
Nine,Knoers,Nine Knoers,Member
Minna,Kaikkonen-Määttä,Minna Kaikkonen-Määttä,Member
Jeroen,Raes,Jeroen Raes,Member
Peter,Verrijzer,Peter V. Verrijzer,Member
Johannes,Zuber,Johannes Zuber,Member
Development,Cell Biology,"Cell Biology, Development, Stem Cells and",Member
Philip,Ingham,Philip Ingham,Chair
Detlev,Arendt,Detlev Arendt,Member
Laurent,Blanchoin,Laurent Blanchoin,Member
Patricia,Boya,Patricia Boya,Member
Sabine,Costagliola,Sabine Costagliola,Member
Bert,De Rybel,Bert De Rybel,Member
Rong,Li,Rong Li,Member
Giorgio,Scita,Giorgio Scita,Member
Anne,Spang,Anne Spang,Member
Jens,Stougaard,Jens Stougaard,Member
Flora,Vaccarino,Flora Vaccarino,Member
Ludovic,Vallier,Ludovic Vallier,Member
Daniela,Cota,Daniela Cota,Chair
Catherine,Brenner,Catherine Brenner,Member
Cathrin,Brisken,Cathrin Brisken,Member
Yves,DeClerck,Yves DeClerck,Member
Mauro,Giacca,Mauro Giacca,Member
Peter,Hordijk,Peter Lodewijk Hordijk,Member
Ursula,Jakob,Ursula Jakob,Member
Diether,Lambrechts,Diether Lambrechts,Member
Alessandra,Moretti,Alessandra Moretti,Member
Niranjan,Nagarajan,Niranjan Nagarajan,Member
Allan,Vaag,Allan Vaag,Member
