Domain,Subdomain,Forename,Lastname,Fullname,Type
PE,Computer Science and Informatics (PE6),Ann,Blandford,Ann Blandford,Member
PE,Computer Science and Informatics (PE6),Colin,Boyd,Colin Alexander Boyd,Member
PE,Computer Science and Informatics (PE6),Lieven,Eeckhout,Lieven Eeckhout,Member
PE,Computer Science and Informatics (PE6),Thomas,Fahringer,Thomas Fahringer,Member
PE,Computer Science and Informatics (PE6),Aristides,Gionis,Aristides Gionis,Member
PE,Computer Science and Informatics (PE6),Iryna,Gurevych,Iryna Gurevych,Member
PE,Computer Science and Informatics (PE6),Manuel,Hermenegildo,Manuel Hermenegildo,Member
PE,Computer Science and Informatics (PE6),Matteo,Maffei,Matteo Maffei,Member
PE,Computer Science and Informatics (PE6),Nadia,Magnenat-Thalmann,Nadia Magnenat-Thalmann,Member
PE,Computer Science and Informatics (PE6),Matti,Pietikainen,Matti Pietikainen,Member
PE,Computer Science and Informatics (PE6),Jean,Ponce,Jean Ponce,Member
PE,Computer Science and Informatics (PE6),Hannu,Toivonen,Hannu Toivonen,Member
PE,Computer Science and Informatics (PE6),Pablo,Varona,Pablo Varona,Member
PE,Systems and Communication Engineering (PE7),Peter,Kennedy,Peter Kennedy,Chair
PE,Systems and Communication Engineering (PE7),Alberto,Bemporad,Alberto Bemporad,Member
PE,Systems and Communication Engineering (PE7),Josep,Bordonau,Josep Bordonau,Member
PE,Systems and Communication Engineering (PE7),Giuseppe,Caire,Giuseppe Caire,Member
PE,Systems and Communication Engineering (PE7),Octavia,Dobre,Octavia Dobre,Member
PE,Systems and Communication Engineering (PE7),Mats,Gustafsson,Mats Gustafsson,Member
PE,Systems and Communication Engineering (PE7),Markku,Juntti,Markku Juntti,Member
PE,Systems and Communication Engineering (PE7),Elisa,Konofagou,Elisa Konofagou,Member
PE,Systems and Communication Engineering (PE7),Dana,Kulić,Dana Kulić,Member
PE,Systems and Communication Engineering (PE7),Hendrik,Nijmeijer,Hendrik Nijmeijer,Member
PE,Systems and Communication Engineering (PE7),Anibal,Ollero,Anibal Ollero,Member
PE,Systems and Communication Engineering (PE7),Monika,Ritsch-Marte,Monika Ritsch-Marte,Member
PE,Systems and Communication Engineering (PE7),Dimitra,Simeonidou,Dimitra Simeonidou,Member
PE,Systems and Communication Engineering (PE7),Keyue,Smedley,Keyue Smedley,Member
PE,Systems and Communication Engineering (PE7),Birgit,Stiller,Birgit Stiller,Member
PE,Systems and Communication Engineering (PE7),Eric,Yeatman,Eric M. Yeatman,Member
PE,Products and Processes Engineering (PE8),Michael,Grätzel,Michael Grätzel,Chair
PE,Products and Processes Engineering (PE8),Nor,Amin,Nor Aishah Saidina Amin,Member
PE,Products and Processes Engineering (PE8),Cristina,Amon,Cristina Amon,Member
PE,Products and Processes Engineering (PE8),Yordan,Garbatov,Yordan Garbatov,Member
PE,Products and Processes Engineering (PE8),Jesper,Hattel,Jesper Hattel,Member
PE,Products and Processes Engineering (PE8),Dan,Henningson,Dan Henningson,Member
PE,Products and Processes Engineering (PE8),Angel,Irabien,Angel Irabien,Member
PE,Products and Processes Engineering (PE8),Hrvoje,Jasak,Hrvoje Jasak,Member
PE,Products and Processes Engineering (PE8),Yiguang,Ju,Yiguang Ju,Member
PE,Products and Processes Engineering (PE8),Siglinda,Perathoner,Siglinda Perathoner,Member
PE,Products and Processes Engineering (PE8),Manuela,Raimondi,Manuela Teresa Raimondi,Member
PE,Products and Processes Engineering (PE8),Aldina,Santiago,Aldina Santiago,Member
PE,Products and Processes Engineering (PE8),Mohammed,Sonebi,Mohammed Sonebi,Member
PE,Products and Processes Engineering (PE8),Richard,Stone,Richard Stone,Member
PE,Products and Processes Engineering (PE8),Bengt,Sundén,Bengt Sundén,Member
PE,Products and Processes Engineering (PE8),Sebastian,Thiede,Sebastian Thiede,Member
PE,Products and Processes Engineering (PE8),Antonio,Tricoli,Antonio Tricoli,Member
PE,Products and Processes Engineering (PE8),Kon-Well,Wang,Kon-Well Wang,Member
PE,Universe Sciences (PE9),Caroline,Slomp,Caroline Slomp,Chair
PE,Universe Sciences (PE9),Sylvie,Demouchy,Sylvie Demouchy,Member
PE,Universe Sciences (PE9),Michael,Bostock,Michael Bostock,Member
PE,Universe Sciences (PE9),Giulio,Di Toro,Giulio Di Toro,Member
PE,Universe Sciences (PE9),Francisco,Doblas-Reyes,Francisco Doblas-Reyes,Member
PE,Universe Sciences (PE9),Mary,Edwards,Mary Edwards,Member
PE,Universe Sciences (PE9),Ulrike,Herzschuh,Ulrike Herzschuh,Member
PE,Universe Sciences (PE9),Marco,Marchetti,Marco Marchetti,Member
PE,Universe Sciences (PE9),Jennifer,Murphy,Jennifer Murphy,Member
PE,Universe Sciences (PE9),María,Gómez,María Jose Polo Gómez,Member
PE,Universe Sciences (PE9),Sabrina,Speich,Sabrina Speich,Member
PE,Universe Sciences (PE9),Trude,Storelvmo,Trude Storelvmo,Member
PE,Universe Sciences (PE9),Fangzhen,Teng,Fangzhen Teng,Member
PE,Universe Sciences (PE9),Pilar,Villamor,Pilar Villamor,Member
PE,Universe Sciences (PE9),Lisa,Wingate,Lisa Wingate,Member
PE,Universe Sciences (PE9),Eric,Wolff,Eric Wolff,Member
PE,Earth System Science (PE10),Carlos,Frenk,Carlos Frenk,Chair
PE,Earth System Science (PE10),Rene,Doyon,Rene Doyon,Member
PE,Earth System Science (PE10),Robert,Brandenberger,Robert Hans Brandenberger,Member
PE,Earth System Science (PE10),Cecilia,Ceccarelli,Cecilia Ceccarelli,Member
PE,Earth System Science (PE10),Anne,Dutrey,Anne Dutrey,Member
PE,Earth System Science (PE10),Hendrik,Hoekstra,Hendrik Hoekstra,Member
PE,Earth System Science (PE10),Karl-Heinz,Kampert,Karl-Heinz Kampert,Member
PE,Earth System Science (PE10),Christoph,Keller,Christoph Keller,Member
PE,Earth System Science (PE10),Ralf,Klessen,Ralf Klessen,Member
PE,Earth System Science (PE10),Claudia,Maraston,Claudia Maraston,Member
PE,Earth System Science (PE10),Giuseppina,Micela,Giuseppina Micela,Member
PE,Earth System Science (PE10),Stefaan,Poedts,Stefaan Poedts,Member
PE,Earth System Science (PE10),Scott,Ransom,Scott Ransom,Member
