Domain,Subdomain,Forename,Lastname,Fullname,Type
SH,The Social World and Its Interactions (SH3),Stefania,Bocconi,Stefania Bocconi,Member
SH,The Social World and Its Interactions (SH3),Lynda,Boothroyd,Lynda Boothroyd,Member
SH,The Social World and Its Interactions (SH3),Rosario,Del Rey,Rosario Del Rey,Member
SH,The Social World and Its Interactions (SH3),Christine,Hentschel,Christine Hentschel,Member
SH,The Social World and Its Interactions (SH3),Jolanda,Jetten,Jolanda Jetten,Member
SH,The Social World and Its Interactions (SH3),Colin,Maclay,Colin Miles Maclay,Member
SH,The Social World and Its Interactions (SH3),Julie,McLeod,Julie McLeod,Member
SH,The Social World and Its Interactions (SH3),Sari,Pietikäinen,Sari P. Pietikäinen,Member
SH,The Social World and Its Interactions (SH3),Katharina,Swirak,Katharina Swirak,Member
SH,The Social World and Its Interactions (SH3),Marc,Swyngedouw,Marc Swyngedouw,Member
SH,The Social World and Its Interactions (SH3),Neil,Thurman,Neil Thurman,Member
SH,The Social World and Its Interactions (SH3),Moris,Triventi,Moris Triventi,Member
SH,The Social World and Its Interactions (SH3),Jean-Louis,van Gelder,Jean-Louis van Gelder,Member
SH,The Social World and Its Interactions (SH3),Harro,van Lente,Harro van Lente,Member
SH,The Social World and Its Interactions (SH3),Tommaso,Venturini,Tommaso Venturini,Member
SH,The Social World and Its Interactions (SH3),Susanne,Wessendorf,Susanne Wessendorf,Member
SH,The Human Mind and Its Complexity (SH4),Arturo,Hernandez,Arturo E. Hernandez,Chair
SH,The Human Mind and Its Complexity (SH4),Jo,Angouri,Jo Angouri,Member
SH,The Human Mind and Its Complexity (SH4),Marcel,Brass,Marcel Brass,Member
SH,The Human Mind and Its Complexity (SH4),Jason,Connor,Jason P. Connor,Member
SH,The Human Mind and Its Complexity (SH4),Eystein,Dahl,Eystein Dahl,Member
SH,The Human Mind and Its Complexity (SH4),Ellen,de Bruijn,Ellen de Bruijn,Member
SH,The Human Mind and Its Complexity (SH4),Jonathan,Ginzburg,Jonathan Ginzburg,Member
SH,The Human Mind and Its Complexity (SH4),Konstantinos,Katsikopoulos,Konstantinos V. Katsikopoulos,Member
SH,The Human Mind and Its Complexity (SH4),Kerstin,Konrad,Kerstin Konrad,Member
SH,The Human Mind and Its Complexity (SH4),Ranko,Matasović,Ranko Matasović,Member
SH,The Human Mind and Its Complexity (SH4),Giuliana,Mazzoni,Giuliana Mazzoni,Member
SH,The Human Mind and Its Complexity (SH4),Annika,Melinder,Annika Maria Désirée Melinder,Member
SH,The Human Mind and Its Complexity (SH4),Tamara,Swaab,Tamara Y. Swaab,Member
SH,The Human Mind and Its Complexity (SH4),Wouter,van den Bos,Wouter van den Bos,Member
SH,The Human Mind and Its Complexity (SH4),Johan,Wagemans,Johan Wagemans,Member
SH,The Human Mind and Its Complexity (SH4),Yaara,Yeshurun-Dishon,Yaara Yeshurun-Dishon,Member
SH,Texts and Concept (SH5),Sonja,Smets,Sonja Smets,Chair
SH,Texts and Concept (SH5),Peter,Bisschop,Peter Bisschop,Member
SH,Texts and Concept (SH5),Stavroula,Constantinou,Stavroula Constantinou,Member
SH,Texts and Concept (SH5),Paolo,D'Angelo,Paolo D'Angelo,Member
SH,Texts and Concept (SH5),Ophelia,Deroy,Ophelia Deroy,Member
SH,Texts and Concept (SH5),Mark,Geller,Mark Geller,Member
SH,Texts and Concept (SH5),Maurizio,Harari,Maurizio Harari,Member
SH,Texts and Concept (SH5),Dana,Jalobeanu,Dana Jalobeanu,Member
SH,Texts and Concept (SH5),Andrea,Kern,Andrea Kern,Member
SH,Texts and Concept (SH5),JeeLoo,Liu,JeeLoo Liu,Member
SH,Texts and Concept (SH5),Reidar,Maliks,Reidar Kiljan Maliks,Member
SH,Texts and Concept (SH5),Samu,Niskanen,Samu Niskanen,Member
SH,Texts and Concept (SH5),James,Ogude,James Ogude,Member
SH,Texts and Concept (SH5),François,Recanati,François Recanati,Member
SH,Texts and Concept (SH5),Jan,Rybicki,Jan Rybicki,Member
SH,Texts and Concept (SH5),Claire,Warwick,Claire Warwick,Member
SH,Texts and Concept (SH5),Ioannis,Κalogerakos,Ioannis Κalogerakos,Member
SH,The Study of the Human Past (SH6),Francesca,Tinti,Francesca Tinti,Chair
SH,The Study of the Human Past (SH6),Diego,Angelucci,Diego E. Angelucci,Member
SH,The Study of the Human Past (SH6),Staša,Babić,Staša Babić,Member
SH,The Study of the Human Past (SH6),Pedro,Cardim,Pedro Cardim,Member
SH,The Study of the Human Past (SH6),Pam,Crabtree,Pam J. Crabtree,Member
SH,The Study of the Human Past (SH6),Eugénia,Cunha,Eugénia Cunha,Member
SH,The Study of the Human Past (SH6),Cesare,Cuttica,Cesare Cuttica,Member
SH,The Study of the Human Past (SH6),Véronique,Dasen,Véronique Dasen,Member
SH,The Study of the Human Past (SH6),Gabriel,Galvez-Behar,Gabriel Galvez-Behar,Member
SH,The Study of the Human Past (SH6),Niels,Gaul,Niels Gaul,Member
SH,The Study of the Human Past (SH6),Miriam,Haidle,Miriam Haidle,Member
SH,The Study of the Human Past (SH6),Padraic,Kenney,Padraic Kenney,Member
SH,The Study of the Human Past (SH6),Susanne,Lachenicht,Susanne Lachenicht,Member
SH,The Study of the Human Past (SH6),Eduardo,Moreno,Eduardo Manzano Moreno,Member
SH,The Study of the Human Past (SH6),Graham,Philip,Graham Philip,Member
SH,The Study of the Human Past (SH6),Ehud,Toledano,Ehud Toledano,Member
SH,The Study of the Human Past (SH6),Susan,Zimmermann,Susan Carin Zimmermann,Member
SH,"Human Mobility, Environment, and Space (SH7)",Ole,Mertz,Ole Mertz,Chair
SH,"Human Mobility, Environment, and Space (SH7)",Isabelle,Anguelovski,Isabelle Michele Sophie Anguelovski,Member
SH,"Human Mobility, Environment, and Space (SH7)",Antonio,Boggia,Antonio Boggia,Member
SH,"Human Mobility, Environment, and Space (SH7)",Maria,Brockhaus,Maria Brockhaus,Member
SH,"Human Mobility, Environment, and Space (SH7)",Daniel,Brown,Daniel Brown,Member
SH,"Human Mobility, Environment, and Space (SH7)",Basile,Chaix,Basile Chaix,Member
SH,"Human Mobility, Environment, and Space (SH7)",Audrey,de Nazelle,Audrey de Nazelle,Member
SH,"Human Mobility, Environment, and Space (SH7)",Martin,Dijst,Martin Dijst,Member
SH,"Human Mobility, Environment, and Space (SH7)",Aleksandra,Grzymała-Kazłowska,Aleksandra Grzymała-Kazłowska,Member
SH,"Human Mobility, Environment, and Space (SH7)",Stefanie,Möllborn,Stefanie Möllborn,Member
SH,"Human Mobility, Environment, and Space (SH7)",Antonio,Paez,Antonio Paez,Member
SH,"Human Mobility, Environment, and Space (SH7)",Patrick,Sakdapolrak,Patrick Sakdapolrak,Member
SH,"Human Mobility, Environment, and Space (SH7)",Sian,Sullivan,Sian Sullivan,Member
SH,"Human Mobility, Environment, and Space (SH7)",Paweł,Swianiewicz,Paweł Swianiewicz,Member
SH,"Human Mobility, Environment, and Space (SH7)",Esther,Turnhout,Esther Turnhout,Member
SH,"Human Mobility, Environment, and Space (SH7)",Emilio,Zagheni,Emilio Zagheni,Member
SH,Studies of Cultures and Arts (SH8),Matthew,Rampley,Matthew Rampley,Chair
SH,Studies of Cultures and Arts (SH8),Ana,da Silva Santos,Ana Cristina Alvarez Caiano da Silva Santos,Member
SH,Studies of Cultures and Arts (SH8),Martine,Beugnet,Martine Beugnet,Member
SH,Studies of Cultures and Arts (SH8),Erwan,Dianteill,Erwan Dianteill,Member
SH,Studies of Cultures and Arts (SH8),Noémie,Étienne,Noémie Étienne,Member
SH,Studies of Cultures and Arts (SH8),Ruurd,Halbertsma,Ruurd Binnert Halbertsma,Member
SH,Studies of Cultures and Arts (SH8),Katie,Holmes,Katie Holmes,Member
SH,Studies of Cultures and Arts (SH8),Jonathan,Impett,Jonathan Impett,Member
SH,Studies of Cultures and Arts (SH8),Shannon,Jackson,Shannon Jackson,Member
SH,Studies of Cultures and Arts (SH8),Alexander,Marr,Alexander Marr,Member
SH,Studies of Cultures and Arts (SH8),Lucia,Michelutti,Lucia Michelutti,Member
SH,Studies of Cultures and Arts (SH8),Juno,Parreñas,Juno Salazar Parreñas,Member
SH,Studies of Cultures and Arts (SH8),Sarah,Pink,Sarah Pink,Member
SH,Studies of Cultures and Arts (SH8),Emilio,Ros-Fábregas,Emilio Ros-Fábregas,Member
SH,Studies of Cultures and Arts (SH8),Katrin,Tiidenberg,Katrin Tiidenberg,Member
SH,Studies of Cultures and Arts (SH8),Sahana,Udupa,Sahana Udupa,Member
SH,Studies of Cultures and Arts (SH8),Bjarki,Valtýsson,Bjarki Valtýsson,Member
